valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ
2022-06-01,2022,15.147369,12.989655,86.951294,11.518844,15.918485
2022-07-01,2022,15.645172,12.482086,81.46612,8.452964,17.73808
2022-08-01,2022,15.3714905,11.841705,79.487976,8.000607,18.165552
2022-09-01,2022,15.12735,12.2565,82.979004,9.266317,18.405968
2022-10-01,2022,15.259186,12.96402,86.18453,8.658364,16.700085
2022-11-01,2022,15.330475,13.191437,87.074646,8.44317,15.632223
2022-12-01,2022,15.091705,12.331818,83.58194,3.3422694,17.964352
2023-01-01,2023,14.957428,12.282257,84.03289,5.4901896,18.185057
2023-02-01,2023,15.411041,12.3909,82.20396,5.257373,19.86936
2023-03-01,2023,15.436432,13.375397,87.52839,10.2522335,16.75707
2023-04-01,2023,15.847321,13.491852,85.90518,9.507279,16.755758
2023-05-01,2023,16.911774,13.840729,82.11897,9.890914,17.163784
2023-06-01,2023,16.7482,12.7621155,77.34155,7.1774373,17.877377
2023-07-01,2023,16.652496,12.707184,77.533585,7.2393007,18.267668
2023-08-01,2023,16.84024,12.264069,74.41996,6.082555,19.773024
2023-09-01,2023,16.917389,11.736969,71.53024,6.087992,20.530128
2023-10-01,2023,16.343903,13.235016,81.845436,9.01138,16.908464
2023-11-01,2023,16.57315,13.7308655,83.30658,7.6517053,16.891104
2023-12-01,2023,16.799469,13.764313,82.29654,3.7054715,17.897392
2024-01-01,2024,17.343903,12.314606,72.32442,1.0602602,21.7516
2024-02-01,2024,16.884186,14.015778,83.20219,6.6807084,18.818096
2024-03-01,2024,17.26529,13.933502,80.78653,4.8518023,20.536625
2024-04-01,2024,16.880035,14.243317,84.45967,11.468787,17.273071
2024-05-01,2024,17.464752,14.581207,83.18941,11.51669,16.01142
2024-06-01,2024,16.65567,13.921783,83.904526,10.146018,16.292992
2024-07-01,2024,16.68277,12.818756,77.95193,6.819814,18.400934
2024-08-01,2024,16.433258,12.071686,75.40886,5.5752287,19.945456
2024-09-01,2024,16.684235,12.105377,74.38016,7.3861575,19.385809
2024-10-01,2024,16.437408,13.279449,81.595894,8.5972805,17.546528
2024-11-01,2024,15.782013,13.745636,87.700005,9.455036,14.777744
2024-12-01,2024,16.181671,13.350494,83.32063,4.92251,17.162352
