valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ,municipio
2017-11-01,2017,15.738434,13.517975,86.65256,6.4522924,16.53562,Ricaurte-Moniquira
2017-12-01,2017,18.517487,15.972443,85.13588,12.817115,18.539455,La Union-Narino
2017-12-01,2017,15.664459,12.439362,81.13782,2.742409,18.595488,Ricaurte-Moniquira
2018-01-01,2018,17.88858,15.586578,86.40516,14.222175,17.620724,La Union-Narino
2018-01-01,2018,15.361237,12.465363,82.87102,5.27459,17.934656,Ricaurte-Moniquira
2018-02-01,2018,18.658844,16.137848,85.28144,17.650467,17.203466,La Union-Narino
2018-02-01,2018,15.634674,12.015778,79.06024,3.6261327,20.066463,Ricaurte-Moniquira
2018-03-01,2018,18.65384,15.980988,84.45856,14.624785,19.690351,La Union-Narino
2018-03-01,2018,15.7464905,12.781647,82.544235,7.6816716,19.529968,Ricaurte-Moniquira
2018-04-01,2018,18.504059,15.900909,84.8191,16.396664,16.835032,La Union-Narino
2018-04-01,2018,15.386139,13.053009,85.983734,10.074414,16.859589,Ricaurte-Moniquira
2018-05-01,2018,18.536774,16.265411,86.63694,22.79305,16.668852,La Union-Narino
2018-05-01,2018,15.729645,13.480377,86.48938,14.612894,15.86184,Ricaurte-Moniquira
2018-06-01,2018,19.187408,15.252716,77.970146,11.042587,16.253113,La Union-Narino
2018-06-01,2018,15.973541,12.411041,79.402664,8.556354,18.15586,Ricaurte-Moniquira
2018-07-01,2018,19.708405,14.065216,69.918976,6.4057894,17.695383,La Union-Narino
2018-07-01,2018,15.955719,11.835846,76.54102,5.9970756,18.916,Ricaurte-Moniquira
2018-08-01,2018,20.08609,12.622345,62.172222,2.6415145,20.515615,La Union-Narino
2018-08-01,2018,15.52066,10.823883,73.60118,4.634885,20.406368,Ricaurte-Moniquira
2018-09-01,2018,19.511139,13.996979,70.468315,6.8242774,20.959232,La Union-Narino
2018-09-01,2018,15.598541,12.178131,80.09451,8.437778,18.776785,Ricaurte-Moniquira
2018-10-01,2018,18.807648,15.876251,83.09265,12.645901,18.58848,La Union-Narino
2018-10-01,2018,15.832672,13.433502,85.659615,10.107376,16.614029,Ricaurte-Moniquira
